avg_fee_inr_per_year,course_id,course_name,duration_years,eligibility,entrance_exams,level,pathway_tags,short_name,stream,sub_stream,top_institutes
5000,VOC_1,ITI in Fitter,1-2,10th Pass,Merit,vocational,after_10th,ITI,Vocational,Fitter,Govt ITIs
5000,VOC_2,ITI in Electrician,1-2,10th Pass,Merit,vocational,after_10th,ITI,Vocational,Electrician,Govt ITIs
5000,VOC_3,ITI in Welder,1-2,10th Pass,Merit,vocational,after_10th,ITI,Vocational,Welder,Govt ITIs
5000,VOC_4,ITI in Machinist,1-2,10th Pass,Merit,vocational,after_10th,ITI,Vocational,Machinist,Govt ITIs
5000,VOC_5,ITI in COPA,1-2,10th Pass,Merit,vocational,after_10th,ITI,Vocational,COPA,Govt ITIs
5000,VOC_6,ITI in Motor Mechanic,1-2,10th Pass,Merit,vocational,after_10th,ITI,Vocational,Motor Mechanic,Govt ITIs
5000,VOC_7,ITI in Plumber,1-2,10th Pass,Merit,vocational,after_10th,ITI,Vocational,Plumber,Govt ITIs
5000,VOC_8,ITI in Turner,1-2,10th Pass,Merit,vocational,after_10th,ITI,Vocational,Turner,Govt ITIs
5000,VOC_9,ITI in Draftsman Civil,1-2,10th Pass,Merit,vocational,after_10th,ITI,Vocational,Draftsman Civil,Govt ITIs
20000,DIP_10_1,Diploma in Civil Engineering,3,10th Pass,State Poly CET,diploma,after_10th,Diploma,Engineering,Civil,Govt Polytechnics
20000,DIP_10_2,Diploma in Mechanical Engineering,3,10th Pass,State Poly CET,diploma,after_10th,Diploma,Engineering,Mechanical,Govt Polytechnics
20000,DIP_10_3,Diploma in Computer Engineering,3,10th Pass,State Poly CET,diploma,after_10th,Diploma,Engineering,Computer,Govt Polytechnics
20000,DIP_10_4,Diploma in Electrical Engineering,3,10th Pass,State Poly CET,diploma,after_10th,Diploma,Engineering,Electrical,Govt Polytechnics
20000,DIP_10_5,Diploma in Automobile Engineering,3,10th Pass,State Poly CET,diploma,after_10th,Diploma,Engineering,Automobile,Govt Polytechnics
